scenario,tz_name,daio,year,flights
Actual,Serbia/Montenegro,O,2012,458142
Actual,Serbia/Montenegro,T,2012,534710
Actual,Slovakia,AD,2012,23598
Actual,Slovakia,I,2012,3133
Actual,Slovakia,O,2012,353908
Actual,Slovakia,T,2012,380639
Actual,Slovenia,AD,2012,29987
Actual,Slovenia,I,2012,1142
Actual,Slovenia,O,2012,314554
Actual,Slovenia,T,2012,345683
Actual,South West FAB,AD,2012,1090809
Actual,South West FAB,I,2012,456443
Actual,South West FAB,O,2012,154981
Actual,South West FAB,T,2012,1702233
Actual,Spain-Canaries,AD,2012,166202
Actual,Spain-Canaries,I,2012,69962
Actual,Spain-Canaries,O,2012,38417
Actual,Spain-Canaries,T,2012,274581
Actual,Spain-Continental,AD,2012,873981
Actual,Spain-Continental,I,2012,275830
Actual,Spain-Continental,O,2012,407155
Actual,Spain-Continental,T,2012,1556966
Actual,Sweden,AD,2012,249844
Actual,Sweden,I,2012,148695
Actual,Sweden,O,2012,325037
Actual,Sweden,T,2012,723576
Actual,Switzerland,AD,2012,458559
Actual,Switzerland,I,2012,22213
Actual,Switzerland,O,2012,563880
Actual,Switzerland,T,2012,1044652
Actual,Türkiye,AD,2012,473375
Actual,Türkiye,I,2012,275324
Actual,Türkiye,O,2012,317175
Actual,Türkiye,T,2012,1065874
Actual,UK-Continental,AD,2012,1467231
Actual,UK-Continental,I,2012,401976
Actual,UK-Continental,O,2012,341762
Actual,UK-Continental,T,2012,2210969
Actual,UK-Ireland FAB,AD,2012,1468686
Actual,UK-Ireland FAB,I,2012,514316
Actual,UK-Ireland FAB,O,2012,254499
Actual,UK-Ireland FAB,T,2012,2237501
Actual,Ukraine,AD,2012,143649
Actual,Ukraine,I,2012,35161
Actual,Ukraine,O,2012,287294
Actual,Ukraine,T,2012,466104
Actual,NM Area,AD,2013,1810733
Actual,NM Area,I,2013,7626142
Actual,NM Area,O,2013,131954
Actual,NM Area,T,2013,9568829
Actual,Albania,AD,2013,19913
Actual,Albania,I,2013,3
Actual,Albania,O,2013,180662
Actual,Albania,T,2013,200578
Actual,Armenia,AD,2013,18730
Actual,Armenia,I,2013,8
Actual,Armenia,O,2013,33564
Actual,Armenia,T,2013,52302
Actual,Austria,AD,2013,296766
Actual,Austria,I,2013,22757
Actual,Austria,O,2013,794403
Actual,Austria,T,2013,1113926
Actual,Azerbaijan,AD,2013,43713
Actual,Azerbaijan,I,2013,4362
Actual,Azerbaijan,O,2013,80515
Actual,Azerbaijan,T,2013,128590
