scenario,tz_name,daio,year,flights
Actual,Poland,T,2012,684450
Actual,Portugal-Continental,AD,2012,221063
Actual,Portugal-Continental,I,2012,25306
Actual,Portugal-Continental,O,2012,191607
Actual,Portugal-Continental,T,2012,437976
Actual,Portugal-SantaMaria,AD,2012,11418
Actual,Portugal-SantaMaria,I,2012,12241
Actual,Portugal-SantaMaria,O,2012,94430
Actual,Portugal-SantaMaria,T,2012,118089
Actual,Romania,AD,2012,110323
Actual,Romania,I,2012,19162
Actual,Romania,O,2012,357775
Actual,Romania,T,2012,487260
Actual,SES-RP2,AD,2012,2007511
Actual,SES-RP2,I,2012,6857459
Actual,SES-RP2,O,2012,222140
Actual,SES-RP2,T,2012,9087110
Actual,Serbia/Montenegro,AD,2012,68561
Actual,Serbia/Montenegro,I,2012,8007
Actual,Serbia/Montenegro,O,2012,458142
Actual,Serbia/Montenegro,T,2012,534710
Actual,Slovakia,AD,2012,23598
Actual,Slovakia,I,2012,3133
Actual,Slovakia,O,2012,353912
Actual,Slovakia,T,2012,380643
Actual,Slovenia,AD,2012,29987
Actual,Slovenia,I,2012,1142
Actual,Slovenia,O,2012,314554
Actual,Slovenia,T,2012,345683
Actual,South West FAB,AD,2012,1090809
Actual,South West FAB,I,2012,456443
Actual,South West FAB,O,2012,154981
Actual,South West FAB,T,2012,1702233
Actual,Spain-Canaries,AD,2012,166202
Actual,Spain-Canaries,I,2012,69962
Actual,Spain-Canaries,O,2012,38417
Actual,Spain-Canaries,T,2012,274581
Actual,Spain-Continental,AD,2012,873981
Actual,Spain-Continental,I,2012,275830
Actual,Spain-Continental,O,2012,407155
Actual,Spain-Continental,T,2012,1556966
Actual,Sweden,AD,2012,249844
Actual,Sweden,I,2012,148695
Actual,Sweden,O,2012,325037
Actual,Sweden,T,2012,723576
Actual,Switzerland,AD,2012,458559
Actual,Switzerland,I,2012,22213
Actual,Switzerland,O,2012,563880
Actual,Switzerland,T,2012,1044652
Actual,Türkiye,AD,2012,473375
Actual,Türkiye,I,2012,275324
Actual,Türkiye,O,2012,317179
Actual,Türkiye,T,2012,1065878
Actual,UK-Continental,AD,2012,1467231
Actual,UK-Continental,I,2012,401976
Actual,UK-Continental,O,2012,341762
Actual,UK-Continental,T,2012,2210969
Actual,UK-Ireland FAB,AD,2012,1468686
Actual,UK-Ireland FAB,I,2012,514316
Actual,UK-Ireland FAB,O,2012,254499
Actual,UK-Ireland FAB,T,2012,2237501
Actual,Ukraine,AD,2012,143649
Actual,Ukraine,I,2012,35161
Actual,Ukraine,O,2012,287294
Actual,Ukraine,T,2012,466104
Actual,NM Area,AD,2013,1810733
Actual,NM Area,I,2013,7626282
Actual,NM Area,O,2013,131954
Actual,NM Area,T,2013,9568969
Actual,Albania,AD,2013,19913
Actual,Albania,I,2013,3
Actual,Albania,O,2013,180662
Actual,Albania,T,2013,200578
Actual,Armenia,AD,2013,18730
Actual,Armenia,I,2013,8
Actual,Armenia,O,2013,33564
Actual,Armenia,T,2013,52302
Actual,Austria,AD,2013,296766
Actual,Austria,I,2013,22757
Actual,Austria,O,2013,794403
Actual,Austria,T,2013,1113926
Actual,Azerbaijan,AD,2013,43713
Actual,Azerbaijan,I,2013,4362
Actual,Azerbaijan,O,2013,80516
Actual,Azerbaijan,T,2013,128591
Actual,BLUE MED FAB,AD,2013,1047636
Actual,BLUE MED FAB,I,2013,438352
Actual,BLUE MED FAB,O,2013,707561
Actual,BLUE MED FAB,T,2013,2193549
Actual,Baltic FAB,AD,2013,269822
Actual,Baltic FAB,I,2013,46582
Actual,Baltic FAB,O,2013,459595
Actual,Baltic FAB,T,2013,775999
Actual,Belgium/Luxembourg,AD,2013,360429
Actual,Belgium/Luxembourg,I,2013,7424
Actual,Belgium/Luxembourg,O,2013,732746
Actual,Belgium/Luxembourg,T,2013,1100599
Actual,Bosnia and Herzegovina,AD,2013,12315
Actual,Bosnia and Herzegovina,I,2013,452
Actual,Bosnia and Herzegovina,O,2013,249700
Actual,Bosnia and Herzegovina,T,2013,262467
